Category: All categories

Month,flights to chicago: (United States)
2010-01,17
2010-02,19
2010-03,20
2010-04,20
2010-05,21
2010-06,23
2010-07,21
2010-08,20
2010-09,17
2010-10,17
2010-11,14
2010-12,16
2011-01,20
2011-02,23
2011-03,23
2011-04,19
2011-05,25
2011-06,28
2011-07,25
2011-08,22
2011-09,21
2011-10,18
2011-11,18
2011-12,18
2012-01,25
2012-02,24
2012-03,23
2012-04,27
2012-05,26
2012-06,28
2012-07,27
2012-08,24
2012-09,25
2012-10,24
2012-11,21
2012-12,21
2013-01,25
2013-02,27
2013-03,31
2013-04,28
2013-05,29
2013-06,31
2013-07,34
2013-08,29
2013-09,27
2013-10,25
2013-11,24
2013-12,25
2014-01,35
2014-02,33
2014-03,33
2014-04,30
2014-05,34
2014-06,37
2014-07,38
2014-08,33
2014-09,34
2014-10,31
2014-11,28
2014-12,29
2015-01,36
2015-02,37
2015-03,42
2015-04,39
2015-05,41
2015-06,47
2015-07,45
2015-08,45
2015-09,44
2015-10,41
2015-11,38
2015-12,43
2016-01,47
2016-02,50
2016-03,51
2016-04,51
2016-05,54
2016-06,56
2016-07,55
2016-08,52
2016-09,50
2016-10,53
2016-11,50
2016-12,52
2017-01,59
2017-02,57
2017-03,66
2017-04,62
2017-05,64
2017-06,70
2017-07,70
2017-08,68
2017-09,59
2017-10,60
2017-11,59
2017-12,56
2018-01,79
2018-02,77
2018-03,80
2018-04,69
2018-05,76
2018-06,89
2018-07,98
2018-08,85
2018-09,74
2018-10,69
2018-11,68
2018-12,63
2019-01,94
2019-02,85
2019-03,93
2019-04,82
2019-05,90
2019-06,100
2019-07,97
2019-08,89
2019-09,80
2019-10,80
2019-11,76
2019-12,82
2020-01,100
2020-02,81
2020-03,80
2020-04,24
2020-05,31
2020-06,42
2020-07,36
2020-08,33
2020-09,38
2020-10,40
2020-11,33
2020-12,38
2021-01,41
2021-02,49
2021-03,61
2021-04,56
2021-05,68
2021-06,78
2021-07,79
2021-08,61
2021-09,57
2021-10,65
2021-11,65
2021-12,57
2022-01,59
2022-02,71
2022-03,79
