Category: All categories

Month,flights to dallas: (United States)
2010-01,11
2010-02,12
2010-03,11
2010-04,13
2010-05,13
2010-06,10
2010-07,14
2010-08,13
2010-09,11
2010-10,11
2010-11,10
2010-12,10
2011-01,16
2011-02,17
2011-03,15
2011-04,15
2011-05,18
2011-06,19
2011-07,18
2011-08,16
2011-09,16
2011-10,14
2011-11,15
2011-12,13
2012-01,18
2012-02,18
2012-03,19
2012-04,19
2012-05,19
2012-06,22
2012-07,21
2012-08,19
2012-09,18
2012-10,18
2012-11,16
2012-12,18
2013-01,18
2013-02,21
2013-03,22
2013-04,23
2013-05,23
2013-06,25
2013-07,25
2013-08,24
2013-09,23
2013-10,21
2013-11,22
2013-12,23
2014-01,27
2014-02,26
2014-03,29
2014-04,28
2014-05,34
2014-06,31
2014-07,33
2014-08,26
2014-09,29
2014-10,27
2014-11,24
2014-12,30
2015-01,32
2015-02,34
2015-03,36
2015-04,34
2015-05,38
2015-06,42
2015-07,46
2015-08,40
2015-09,42
2015-10,41
2015-11,38
2015-12,44
2016-01,49
2016-02,52
2016-03,53
2016-04,50
2016-05,58
2016-06,62
2016-07,62
2016-08,52
2016-09,53
2016-10,55
2016-11,50
2016-12,55
2017-01,62
2017-02,63
2017-03,64
2017-04,61
2017-05,67
2017-06,73
2017-07,68
2017-08,70
2017-09,60
2017-10,62
2017-11,62
2017-12,60
2018-01,69
2018-02,70
2018-03,71
2018-04,68
2018-05,74
2018-06,81
2018-07,87
2018-08,79
2018-09,76
2018-10,71
2018-11,71
2018-12,75
2019-01,78
2019-02,77
2019-03,82
2019-04,79
2019-05,84
2019-06,95
2019-07,87
2019-08,81
2019-09,78
2019-10,75
2019-11,74
2019-12,77
2020-01,81
2020-02,71
2020-03,68
2020-04,26
2020-05,41
2020-06,55
2020-07,44
2020-08,49
2020-09,50
2020-10,57
2020-11,48
2020-12,50
2021-01,53
2021-02,65
2021-03,71
2021-04,72
2021-05,81
2021-06,94
2021-07,84
2021-08,76
2021-09,73
2021-10,81
2021-11,81
2021-12,77
2022-01,76
2022-02,88
2022-03,100
