Category: All categories

Month,flights to los angeles: (United States)
2010-01,35
2010-02,29
2010-03,32
2010-04,32
2010-05,37
2010-06,39
2010-07,31
2010-08,29
2010-09,25
2010-10,26
2010-11,21
2010-12,25
2011-01,31
2011-02,35
2011-03,33
2011-04,33
2011-05,32
2011-06,38
2011-07,38
2011-08,35
2011-09,31
2011-10,27
2011-11,24
2011-12,25
2012-01,31
2012-02,33
2012-03,34
2012-04,33
2012-05,36
2012-06,36
2012-07,36
2012-08,34
2012-09,32
2012-10,31
2012-11,31
2012-12,26
2013-01,33
2013-02,35
2013-03,38
2013-04,38
2013-05,42
2013-06,46
2013-07,47
2013-08,44
2013-09,36
2013-10,35
2013-11,36
2013-12,38
2014-01,42
2014-02,41
2014-03,46
2014-04,44
2014-05,42
2014-06,48
2014-07,47
2014-08,44
2014-09,41
2014-10,36
2014-11,37
2014-12,39
2015-01,43
2015-02,43
2015-03,47
2015-04,44
2015-05,46
2015-06,50
2015-07,52
2015-08,52
2015-09,44
2015-10,47
2015-11,43
2015-12,48
2016-01,61
2016-02,63
2016-03,64
2016-04,57
2016-05,61
2016-06,64
2016-07,64
2016-08,58
2016-09,55
2016-10,66
2016-11,57
2016-12,65
2017-01,74
2017-02,71
2017-03,81
2017-04,73
2017-05,78
2017-06,80
2017-07,76
2017-08,73
2017-09,70
2017-10,68
2017-11,71
2017-12,70
2018-01,83
2018-02,81
2018-03,81
2018-04,73
2018-05,73
2018-06,89
2018-07,90
2018-08,77
2018-09,70
2018-10,75
2018-11,71
2018-12,71
2019-01,92
2019-02,90
2019-03,90
2019-04,85
2019-05,85
2019-06,91
2019-07,87
2019-08,80
2019-09,81
2019-10,80
2019-11,78
2019-12,84
2020-01,100
2020-02,86
2020-03,88
2020-04,30
2020-05,41
2020-06,54
2020-07,47
2020-08,50
2020-09,49
2020-10,55
2020-11,44
2020-12,40
2021-01,45
2021-02,59
2021-03,73
2021-04,78
2021-05,85
2021-06,87
2021-07,73
2021-08,65
2021-09,68
2021-10,68
2021-11,71
2021-12,62
2022-01,64
2022-02,73
2022-03,76
