Category: All categories

Month,flights to new orleans: (United States)
2010-01,21
2010-02,18
2010-03,12
2010-04,15
2010-05,13
2010-06,13
2010-07,11
2010-08,12
2010-09,12
2010-10,12
2010-11,12
2010-12,10
2011-01,19
2011-02,18
2011-03,17
2011-04,16
2011-05,12
2011-06,17
2011-07,15
2011-08,14
2011-09,17
2011-10,15
2011-11,14
2011-12,16
2012-01,26
2012-02,22
2012-03,22
2012-04,21
2012-05,18
2012-06,19
2012-07,17
2012-08,19
2012-09,17
2012-10,18
2012-11,16
2012-12,18
2013-01,28
2013-02,25
2013-03,22
2013-04,22
2013-05,21
2013-06,22
2013-07,20
2013-08,25
2013-09,21
2013-10,24
2013-11,21
2013-12,23
2014-01,34
2014-02,31
2014-03,27
2014-04,24
2014-05,24
2014-06,26
2014-07,27
2014-08,26
2014-09,27
2014-10,24
2014-11,24
2014-12,29
2015-01,39
2015-02,38
2015-03,36
2015-04,33
2015-05,33
2015-06,36
2015-07,37
2015-08,37
2015-09,36
2015-10,37
2015-11,33
2015-12,38
2016-01,55
2016-02,47
2016-03,48
2016-04,42
2016-05,47
2016-06,46
2016-07,47
2016-08,46
2016-09,43
2016-10,48
2016-11,45
2016-12,50
2017-01,70
2017-02,69
2017-03,59
2017-04,59
2017-05,56
2017-06,62
2017-07,57
2017-08,62
2017-09,53
2017-10,59
2017-11,57
2017-12,61
2018-01,92
2018-02,80
2018-03,74
2018-04,66
2018-05,62
2018-06,75
2018-07,80
2018-08,75
2018-09,73
2018-10,71
2018-11,68
2018-12,78
2019-01,100
2019-02,94
2019-03,83
2019-04,70
2019-05,73
2019-06,82
2019-07,84
2019-08,75
2019-09,75
2019-10,73
2019-11,71
2019-12,76
2020-01,99
2020-02,84
2020-03,69
2020-04,15
2020-05,23
2020-06,34
2020-07,25
2020-08,31
2020-09,34
2020-10,37
2020-11,27
2020-12,27
2021-01,39
2021-02,44
2021-03,60
2021-04,61
2021-05,68
2021-06,74
2021-07,70
2021-08,58
2021-09,44
2021-10,57
2021-11,56
2021-12,55
2022-01,63
2022-02,74
2022-03,83
