Category: All categories

Month,flights to new york: (United States)
2010-01,37
2010-02,39
2010-03,41
2010-04,46
2010-05,45
2010-06,47
2010-07,40
2010-08,38
2010-09,33
2010-10,31
2010-11,29
2010-12,36
2011-01,37
2011-02,36
2011-03,35
2011-04,35
2011-05,36
2011-06,45
2011-07,45
2011-08,43
2011-09,39
2011-10,34
2011-11,32
2011-12,30
2012-01,39
2012-02,36
2012-03,37
2012-04,37
2012-05,42
2012-06,42
2012-07,42
2012-08,39
2012-09,38
2012-10,36
2012-11,28
2012-12,33
2013-01,38
2013-02,39
2013-03,44
2013-04,39
2013-05,43
2013-06,48
2013-07,49
2013-08,47
2013-09,42
2013-10,39
2013-11,39
2013-12,40
2014-01,51
2014-02,46
2014-03,43
2014-04,44
2014-05,47
2014-06,51
2014-07,53
2014-08,47
2014-09,46
2014-10,42
2014-11,40
2014-12,43
2015-01,53
2015-02,50
2015-03,52
2015-04,50
2015-05,54
2015-06,61
2015-07,62
2015-08,59
2015-09,57
2015-10,58
2015-11,57
2015-12,58
2016-01,64
2016-02,68
2016-03,69
2016-04,64
2016-05,71
2016-06,73
2016-07,73
2016-08,67
2016-09,66
2016-10,68
2016-11,69
2016-12,69
2017-01,76
2017-02,74
2017-03,78
2017-04,72
2017-05,75
2017-06,80
2017-07,81
2017-08,78
2017-09,77
2017-10,76
2017-11,75
2017-12,72
2018-01,82
2018-02,75
2018-03,81
2018-04,73
2018-05,75
2018-06,85
2018-07,88
2018-08,87
2018-09,80
2018-10,78
2018-11,76
2018-12,75
2019-01,84
2019-02,78
2019-03,80
2019-04,77
2019-05,79
2019-06,89
2019-07,92
2019-08,84
2019-09,83
2019-10,82
2019-11,84
2019-12,88
2020-01,100
2020-02,78
2020-03,95
2020-04,30
2020-05,34
2020-06,45
2020-07,37
2020-08,42
2020-09,43
2020-10,45
2020-11,37
2020-12,39
2021-01,39
2021-02,45
2021-03,57
2021-04,63
2021-05,71
2021-06,76
2021-07,76
2021-08,68
2021-09,66
2021-10,70
2021-11,79
2021-12,68
2022-01,63
2022-02,69
2022-03,78
